The Shawshank Redemption,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.Chronicles the experiences of a formerly successful banker as a prisoner in the gloomy jailhouse of Shawshank after being found guilty of a crime he did not commit. The film portrays the man's unique way of dealing with his new, torturous life; along the way he befriends a number of fellow prisoners, most notably a wise long-term inmate named Red.—J-S-GoldenWhen an innocent male banker is sent to prison accused of murdering his wife, he does everything that he can over the years to break free and escape from prison. While on the inside, he develops a friendship with a fellow inmate that could last for years.—RECB3After the murder of his wife, hotshot banker Andrew Dufresne is sent to Shawshank Prison, where the usual unpleasantness occurs. Over the years, he retains hope and eventually gains the respect of his fellow inmates, especially longtime convict ""Red"" Redding, a black marketeer, and becomes influential within the prison. Eventually, Andrew achieves his ends on his own terms.—Reid GagleAndy Dufresne is sent to Shawshank Prison for the murder of his wife and her secret lover. He is very isolated and lonely at first, but realizes there is something deep inside your body that people can't touch or get to....'HOPE'. Andy becomes friends with prison 'fixer' Red, and Andy epitomizes why it is crucial to have dreams. His spirit and determination lead us into a world full of imagination, one filled with courage and desire. Will Andy ever realize his dreams?—Andy Haque1 moreAll"
The Godfather,"The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.The Godfather ""Don"" Vito Corleone is the head of the Corleone mafia family in New York. He is at the event of his daughter's wedding. Michael, Vito's youngest son and a decorated WWII Marine is also present at the wedding. Michael seems to be uninterested in being a part of the family business. Vito is a powerful man, and is kind to all those who give him respect but is ruthless against those who do not. But when a powerful and treacherous rival wants to sell drugs and needs the Don's influence for the same, Vito refuses to do it. What follows is a clash between Vito's fading old values and the new ways which may cause Michael to do the thing he was most reluctant in doing and wage a mob war against all the other mafia families which could tear the Corleone family apart.—srijanarora-152-448595Michael, the young and idealistic son of Vito Corleone, the head of the most powerful Mafia clan in New York, returns home as a war hero and is determined to live his own life. But tragic circumstances make him face the legacy of his family.—fiveisforsecretNew York, 1945. Don Vito Corleone (played by Marlon Brando) is the aging Godfather of a mafia family. He has three sons - Sonny (James Caan), Fredo (John Cazale) and Michael (Al Pacino). Sonny is his natural successor but is impulsive, short-tempered and not much of a thinker. Fredo is overly passive. Michael is a war hero and looking to stay out of the family business. The Corleone family and the other four mafia families of New York and New Jersey have been at peace for several years now. Then one of the families decides to get into the illegal narcotics business and wants Don Corleone's help. Don Corleone decides that his family should stay out of narcotics. This has disastrous and far-reaching consequences, consequences that will suck Michael deeper and deeper into the family business.The story begins as ""Don"" Vito Corleone, the head of a New York Mafia ""family"", oversees his daughter's wedding with his wife Carmela. His beloved son Michael has just come home from the war, but does not intend to become part of his father's business. Through Michael's life the nature of the family business becomes clear. The business of the family is just like the head of the family, kind and benevolent to those who give respect, but given to ruthless violence whenever anything stands against the good of the family. Don Vito lives his life in the way of the old country, but times are changing and some don't want to follow the old ways and look out for community and ""family"". An up and coming rival of the Corleone family wants to start selling drugs in New York, and needs the Don's influence to further his plan. The clash of the Don's fading old world values and the new ways will demand a terrible price, especially from Michael, all for the sake of the family.—Charlie Ness1 moreAll"
The Dark Knight,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.Set within a year after the events of Batman Begins (2005), Batman, Lieutenant James Gordon, and new District Attorney Harvey Dent successfully begin to round up the criminals that plague Gotham City, until a mysterious and sadistic criminal mastermind known only as ""The Joker"" appears in Gotham, creating a new wave of chaos. Batman's struggle against The Joker becomes deeply personal, forcing him to ""confront everything he believes"" and improve his technology to stop him. A love triangle develops between Bruce Wayne, Dent, and Rachel Dawes.—Leon LombardiFollowing the events of Batman Begins (2005), mighty Batman, Lieutenant James Gordon, and District Attorney Harvey Dent plan to arrest shady mob accountant Lau to bring down the mob. But Lau's detailed disclosures threaten Gotham's organised crime. As a result, the city's desperate mob bosses turn to The Joker, a sadistic, green-haired psychopath in a purple suit with a flair for crime. As the unstoppable criminal mastermind wreaks havoc, bringing Gotham to its knees with widespread anarchy and chaos, Batman must face his greatest challenge to battle injustice. However, is the Dark Knight prepared to walk the fine line between defender and avenger, hero and vigilante?—Nick RiganasGotham's new District Attorney has been elected. His name is Harvey Dent, and he has a radical new agenda that threatens to take down Gotham's organized crime underworld once and for all with an iron fist. But the emergence of the rogue vigilante known as Batman has caused problems for Dent and his agenda. A new criminal mastermind known only as ""The Joker"" has arrived and aims to take Gotham out from under Harvey Dent's iron fist. The Joker stages a masterfully planned bank robbery and robs the Gotham mob blind. He uses this money to stage a series of horrific and strategic attacks against the city and its people, each one carefully planned and aimed at Dent and Batman, while causing the rest of the city to enter panic mode. Meanwhile, Batman thinks he might have found a lead to The Joker thanks to Wayne Enterprises' dealings with a shady Chinese banker, and that takes Batman and Alfred to Hong Kong. The Joker has no rules, but Batman has only one, and the Joker aims to make Batman break his only rule. But who will be the one to take him out, will it be rogue vigilante Batman, or will it be elected official Harvey Dent, the new hero with a face?—halo1k"
The Godfather Part II,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.The continuing saga of the Corleone crime family tells the story of a young Vito Corleone growing up in Sicily and in 1910s New York; and follows Michael Corleone in the 1950s as he attempts to expand the family business into Las Vegas, Hollywood and Cuba.—Keith Loh <loh@sfu.ca>The life of Vito Corleone is shown as he becomes from a boy born in Sicily to one of the most respected mafia dons of New York while Micheal attempts to expand his business empire into Las Vegas, Florida and pre-revolution Cuba while facing his own personal problems trying to keep his collapsing marriage and relationship with his brother intact.—ahmetkozanThe continuation of the Godfather saga with two focuses: the ongoing story of the Corleone family, and Michael in particular, and Vito Corleone's (Michael's father) backstory. Regarding the ongoing Michael Corleone story, it is about seven years since the events that concluded The Godfather. With the murders of the heads of the other four New York / New Jersey families, the Corleone family has unassailable control in New York. The move to Nevada went smoothly and Michael Corleone controls several hotels and casinos in the state. Frank Pentageli, the man who runs Michael's interests in New York, comes to Michael, asking if he can take out the Rosato Brothers as they are infringing on Pentageli's turf and business interests. However, the Rosatos are backed by Hyman Roth, a business partner of Michael's and a long- time ally of Michael's father, Vito Corleone, and Michael refuses. An assassination attempt is then carried out on Michael, in his own home. Michael investigates who is trying to kill him, and suspects that there is a traitor in his family. Meanwhile, Michael and Hyman Roth fly to Cuba to finalise some business deals there. The Cuban trip reveals all. In a story interwoven with the present day, we see the backstory to Vito Corleone. From how his parents and brother were murdered by a Don in their home town of Corleone in Sicily, to his escaping, as a boy, to New York, his adult life and his rise to Don Corleone.—grantssThe childhood of Vito Corleone and his rise from a petty criminal to the most powerful don in New York City during the early 20th century is depicted, whilst his son Don Michael Corleone succumbs to power, greed, and ruthlessness, all for the sake of pride and keeping the Corleone family intact.—goddangwatir"
12 Angry Men,"The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.The defense and the prosecution have rested, and the jury is filing into the jury room to decide if a young man is guilty or innocent of murdering his father. What begins as an open-and-shut case of murder soon becomes a detective story that presents a succession of clues creating doubt, and a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, AND each other. Based on the play, all of the action takes place on the stage of the jury room.—pjk <PETESID@VNET.IBM.COM>When a young Puerto Rican boy is on trial for the alleged murder of his father, 11 of the 12 jurors are quick to vote that he is guilty in an ostensibly straightforward case. The remaining juror seems skeptical about the evidence at hand, and demands a thorough deliberation of the facts from each juror before sentencing the boy to death: prove the defendant's guilt beyond a reasonable doubt.—Kyle PerezThe verdict of a seemingly open and shut case lies in the hands of twelve Jury members, the verdict is obvious, guilty. But to one, there's more than meets the eye. What else might be hiding in the details of the case? Will an innocent man be put to death? Or will a guilty man be spared?—Seth TrojcakIn need of a unanimous, cut-and-dried guilty verdict by the end of the session, twelve jurors crammed in a small New York City jury room during one scorching hot day have the fate of an impecunious eighteen-year-old man in their hands. However, in what seems like an open-and-shut case of first-degree murder, one man, Juror #8, harbours reasonable doubt about the young defendant's guilt, having a hunch that there is a lot more to it than meets the eye. After all, a man is innocent until proven guilty. Can concerned Juror #8 overcome the obstinate prejudices of the other eleven members of the jury and let truth shine?—Nick Riganas1 moreAll"
Schindler's List,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.Oskar Schindler is a vain and greedy German businessman who becomes an unlikely humanitarian amid the barbaric German Nazi reign when he feels compelled to turn his factory into a refuge for Jews. Based on the true story of Oskar Schindler who managed to save about 1100 Jews from being gassed at the Auschwitz concentration camp, it is a testament to the good in all of us.—Harald Mayr <marvin@bike.augusta.de>The incredible true story of the enigmatic and opportunistic businessman Oskar Schindler, who saved the lives of more than 1,100 Jews during the Holocaust. Schindler's List chronicles the trials and triumph of one man who made a difference and the tribulations of those who survived one of the darkest chapters in human history because of his actions.—SpiricomBusinessman Oskar Schindler arrives in Krakow in 1939, ready to make his fortune from World War II, which has just started. After joining the Nazi party primarily for political expediency, he staffs his factory with Jewish workers for similarly pragmatic reasons. When the SS begins exterminating Jews in the Krakow ghetto, Schindler arranges to have his workers protected to keep his factory in operation, but soon realizes that in so doing, he is also saving innocent lives.—Jwelch5742The true story of Czech born Oskar Schindler, a businessman who tried to make his fortune during the Second World War by exploiting cheap Jewish labour, but ended up penniless having saved over 1000 Polish Jews from almost certain death during the Holocaust.—Rob Hartill1 moreAll"
The Lord of the Rings: The Return of the King,"Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.The final confrontation between the forces of good and evil fighting for control of the future of Middle-earth. Frodo and Sam reach Mordor in their quest to destroy the One Ring, while Aragorn leads the forces of good against Sauron's evil army at the stone city of Minas Tirith.—Jwelch5742Sauron's forces have laid siege to Minas Tirith, the capital of Gondor, in their efforts to eliminate the race of men. The once-great kingdom, watched over by a fading Steward, has never been in more desperate need of its King. But can Aragorn answer the call of his heritage and become what he was born to be? In no small measure, the fate of Middle-earth rests on his broad shoulders. With the final battle joined, and the legions of darkness gathering, Gandalf urgently tries to rally Gondor's broken army to action. He is aided by Rohan's King Theoden, who unites his warriors for history's biggest test. Yet even with their courage and passionate loyalty, the forces of men, with Eowyn and Merry hidden amongst them, are no match for the enemies swarming against Gondor. Still, in the face of great losses, they charge forward into the battle of their lifetimes, tied together by their singular goal to keep Sauron distracted and give the Ring Bearer a chance to complete his quest. Their hopes rest with Frodo, a tiny but determined Hobbit making a perilous trip across treacherous enemy lands to cast the One Ring into the fires of Mount Doom. The closer Frodo gets to his destination, the heavier his burden becomes, and the more he must rely on Samwise Gamgee. Gollum, and the Ring, will test Frodo's allegiances and, ultimately, his humanity.—Jwelch5742Gondor is overrun by the orcs of Mordor, and Gandalf rides to Minas Tirith to aid the humans in the war that is ahead. Aragorn must realize his true identity and purpose as the King of Men, and journey with Gimli and Legolas to summon the Army of the Dead so that the battle against evil can be won. Meanwhile, paranoia and suspicion rises between Frodo, Sam, and Gollum as they continue their increasingly dark and dangerous travel to Mount Doom, the one place where the One Ring can be destroyed once and for all.—QrrbirbelThe Fellowship divides to conquer as Frodo and Sam, with the help and hindrance of Gollum, continue their way to Mount Doom. Gandalf and Pippin ride to Minas Tirith to help defend Gondor while Merry remains with Éowyn and the other Rohan fighters. Aragorn, Legolas, and Gimli seek aid from those that live in the Cursed Mountains. All of these battles have one goal in mind: distract the Eye of Sauron and buy Frodo a little more time to destroy the One Ring.—PompeyV1 moreAll"
Pulp Fiction,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.Jules Winnfield (Samuel L. Jackson) and Vincent Vega (John Travolta) are two hitmen who are out to retrieve a suitcase stolen from their employer, mob boss Marsellus Wallace (Ving Rhames). Wallace has also asked Vincent to take his wife Mia (Uma Thurman) out a few days later when Wallace himself will be out of town. Butch Coolidge (Bruce Willis) is an aging boxer who is paid by Wallace to lose his fight. The lives of these seemingly unrelated people are woven together comprising of a series of funny, bizarre and uncalled-for incidents.—SoumitraFaced with life's cruel irony, the unpredictable stories of a well-dressed pair of low-level hitmen; a gangster's statuesque moll, and a double-crossing prizefighter become inextricably intertwined, as the small-time crooks, Honey Bunny and Pumpkin, summon up the courage to hold up their favourite L.A. diner. Entrusted with retrieving a glow-emitting leather suitcase which belongs to their boss--the powerful crime kingpin, Marsellus--instead, the dark-suited gunmen, Vincent Vega and Jules Winnfield, end up with a bloody mess. Fortunately--with men like Mr Wolf always around to handle a crisis--there's time to cool off in a long twist contest, while at the same time, the proud champion boxer, Butch, makes the decision of a lifetime. Soon, things will come full circle, as, once more, Jules and Vincent find themselves in the perfect dead-end situation, exactly where it all began: an all-too-familiar cafeteria. Is truth stranger than fiction?—Nick RiganasPumpkin (Tim Roth) and Honey Bunny (Amanda Plummer) are two thieves who, while dining at a coffee shop, decide that the best thing to do is to rob it. Vincent Vega (John Travolta) and Jules Winnfield (Samuel L. Jackson), two hit men working for mob kingpin Marcellus Wallace (Ving Rhames'), are sent to retrieve a very special and very mysterious briefcase for their boss. Vincent later must also show Mrs. Wallace (Uma Thurman) a good time while her husband is out. Butch Coolidge (Bruce Willis) is an aging prizefighter who is being paid to ""take a dive"", but instead accidentally kills his opponent, and tries to flee town, but not before getting his dead father's lucky golden watch. These four seemingly unrelated stories are interwoven in a non-linear fashion.—movies_are_foreverJules Winnfield (Samuel L. Jackson) and Vincent Vega (John Travolta) work as hit men for crime boss Marcellus Wallace (Ving Rhames). Wallace is currently dealing with Butch Collidge (Bruce Willis), a boxer who failed to throw a fight after taking Wallace's money and is now planning to flee the city, but can't leave his father's watch behind. Vincent faces some problems of his own when Wallace asks him to show his wife Mia (Uma Thurman) a good time while he's away. Some of these people redeem themselves and some don't, and all meet an end appropriate to their choices.—rmlohner1 moreAll"
The Lord of the Rings: The Fellowship of the Ring,"A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.An ancient Ring thought lost for centuries has been found, and through a strange twist of fate has been given to a small Hobbit named Frodo. When Gandalf discovers the Ring is in fact the One Ring of the Dark Lord Sauron, Frodo must make an epic quest to the Cracks of Doom in order to destroy it. However, he does not go alone. He is joined by Gandalf, Legolas the elf, Gimli the Dwarf, Aragorn, Boromir, and his three Hobbit friends Merry, Pippin, and Samwise. Through mountains, snow, darkness, forests, rivers and plains, facing evil and danger at every corner the Fellowship of the Ring must go. Their quest to destroy the One Ring is the only hope for the end of the Dark Lords reign.—Paul Twomey <toomsp@hotmail.com>The future of civilization rests in the fate of the One Ring, which has been lost for centuries. Powerful forces are unrelenting in their search for it. But fate has placed it in the hands of a young Hobbit named Frodo Baggins, who inherits the Ring and steps into legend. A daunting task lies ahead for Frodo when he becomes the Ringbearer, to destroy the One Ring in the fires of Mount Doom where it was forged.—Jwelch5742This movie is adapted from the novel of the same name and shows a different world where different types of creatures live. Humans, elves, dwarfs, hobbits, ours are some of them. Lord of Darkness Sharoun who created the most powerful ring to help him reign over the world. But one human king Isipdur with an alliance with the elves defeated the dark lord and took the ring so that he can destroy the evil ring. But the ring has this cursed power that whoever possessed it comes under the influence of its power and can't let it go. The king decided to keep him to himself, relinquishing the only chance of destroying the ring. But no one can keep the ring for a long time other than its true owner as it attracts other creatures who desire for power. After Isipdur it passes to Golloum who keeps it for 500 years, but ring seeks its owner and Golloum loses it. A Hobbit named Bilbo finds it and keeps it for many years and passes it to his nephew Frodo, who decides to destroy it so that there will be no chance of Sharoun's return. So Frodo and eight begin their journey to the cracks of doom as the birthplace of the ring is the only place where it can die. This fellowship includes four Hobbits, one wizard, one elf, one dwarf and two humans. So, through the mines of Moriah, the forests of the Elves, the river, they started their journey.The power of Bilbo Baggins' ring of invisibility may have been underestimated, Gandalf the Grey fears its power even with his unfathomable magical abilities. As the power of the one Ring grows, so too do the armies of Sauron and Sarumon as their evil spreads across the lands of man, dwarf, and elf alike. It is up to a ragtag band of heroes to carry the ring to Mount Doom, the evil place of its birth, and cast it into the eternal fires that forged it. Does the fellowship have what it takes to complete its task, or will the powers of evil overcome those of good leaving behind a world ravaged by the rage of Sauron, the Dark Lord?—ahmetkozan2 moreAll"
"Il buono, il brutto, il cattivo","A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.During the American Civil War, three men set off to find $200,000.00 in buried gold coins. Tuco and Blondie have known each other for some time now, having used the reward on Tuco's head as a way of earning money. They come across a dying man, Bill Carson, who tells them of a treasure in gold coins. By chance, he reveals the name of the cemetery and the name of the grave where the gold is buried. Now rivals, the two men have good reason to keep each other alive. The third man, Angel Eyes, hears of the gold stash from someone he's been hired to kill. All he knows is to look for someone named Bill Carson. The three ultimately meet in a showdown that takes place amid a major battle between Confederate and Union forces.—garykmcdThree different men of three different temperaments and tastes get involved in a long and adventure-filled battle in order to find a fortune in gold. While the first man, an ex-bounty hunter and a forgiving person, knows the name of the grave inwhich the gold is buried, the second, a fast-tempered greedy man, knows the name on the cemetery. But the third person, a cruel, cold-blooded murderer, knows about the gold first, but must find the location from the first two.—J. S. GoldenA $200,000.00-shipment of Confederate gold is ambushed by Yankees in the southwest, making it open season for huge news for every grifter, bad guy, and bounty hunter in the area. Blondie, Angel Eyes, and Tuco are Good, Bad, and Ugly, respectively. Each one has a key portion of the puzzle leading to the location of the gold, but none of them ever learned to share.—LA-LawyerAs the Union Army advances and the Confederate forces retreat, two drifters and amoral partners-in-crime, opportunistic gunslinger Blondie and greasy Mexican bandit Tuco, have devised a foolproof scheme to strike it rich. But, as usual, all good things must come to an end. And as the promise of a legendary cache of gold buried somewhere in the sun-baked Sad Hill Cemetery clouds judgment, two comrades turn into enemies hell-bent on getting their hands on the treasure. However, there is a catch: only one knows the name of the grave. As if that weren't enough, the smell of profit attracts yet another vulture: Angel Eyes, a treacherous mercenary determined to make a fortune at all costs. Now, against the backdrop of Civil War-torn America and a mutually disadvantageous partnership, three deadly antagonists must work together to find the whereabouts of the grand prize, enduring pitiless torture and crafty double-crosses along the way. With the sizzling ecstasy of shiny gold intoxicating the mind, who will walk away in one piece from the inevitable Mexican stand-off under the sun?—Nick Riganas"
